intent,primary_url,related_terms,user_task,tool_or_content,change,internal_links,fact_basis,acceptance
free tool directory,/tools,"face analyzer,local face check",choose a private tool,local analyzer and comparison,updated,"PSL; Mog; shape; practice",implemented behavior,anonymous HTML route
camera preparation,/omoggle-practice-test,"camera check,Omoggle practice",check permission and image setup,camera and photo tool,updated,"troubleshooting; camera guides",local measured frame,one user-initiated frame
PSL entertainment check,/psl-test,"PSL test,PSL score",understand geometry and setup,local PSL variant,updated,"PSL scale; methodology",disclosed heuristic,no health or population claims
photo presentation comparison,/mog-score,"mog score,mog test",compare two setups,local score plus 1v1,updated,"mogging meaning; score changes",disclosed heuristic,same consenting adult only
face shape estimate,/face-shape-detector,"face shape detector",estimate closest categories,local shape tool,new,"face shape guide",landmark ratios,primary secondary and limits
camera and access troubleshooting,/omoggle-troubleshooting,"camera black screen,site not working",follow symptom branches,guide,new,"practice; contact",browser controls plus unknown live status,no fake uptime
PSL overview,/psl-scale,"PSL scale",understand subjective bands,guide,preserved,"test; chart",community terminology,not official or medical
PSL chart reference,/psl-scale-chart,"PSL chart",scan reference labels,reference,preserved,"scale; test",community terminology,distinct reference intent
PSL long explanation,/psl-scale-explained,"PSL explained",legacy access,canonical alias,preserved,"scale",existing canonical decision,no new redirect
mogging definition,/mogging-meaning,"mogging meaning,mogger",understand terms,glossary,preserved,"mog score",community usage,no objective identity claim
score variability,/why-omoggle-score-changes,"why score changes",control capture variables,guide,preserved,"practice; mog score",camera geometry,no promised point gain
site identity,/about,"about Omoggle IT",understand independence and funding,trust page,new,"privacy; contact",actual implementation,advertising limitations visible
privacy,/privacy-policy,"privacy,photo upload",understand data flow,legal/trust page,updated,"contact",code-level data flow,local and legacy paths separated
